  5	 14	 14	 669	0x34BB	13499	215984	0	0x00	 0	 0	0	1	0	0	0xEA	 -22	-1.02445483208e-08	  14	0x34BB	13499	215984	0x00	   0	 0.00000000000e+00	0xFFE0	   -32	-3.63797880709e-12	0x354A66	 3492454	 1.62630062550e-03	0xA10D7753	2702014291	 5.15368326378e+03	0x3430	 13360	 4.77162732886e-09	0xA3154DA0	 2736082336	 4.00266431570e+00	0x015EACC4	  22981828	 2.67543690279e-03	0x08F5B614	  150320660	 2.19906811201e-01	0x26BE8345	  650019653	 9.50925502253e-01	0x3A62	-1438	-5.13592821774e-10	0xE92DCE8F	 3912093327	 5.72307205585e+00	0xFFA95B	16755035	 5.98419033698e-06	0x007E	   126	 2.34693288803e-07	0x146C	  5228	 9.73790884018e-06	0x1794	  6036	 1.88625000000e+02	0x010C	   268	 8.37500000000e+00	0x0005	     5	 9.31322574615e-09	0xFFC4	   -60	-1.11758708954e-07	0x00	 0	    0
  8	 79	 79	 669	0x34BC	13500	216000	0	0x00	 0	 0	1	0	0	0	0xF8	  -8	-3.72529029846e-09	  79	0x34BC	13500	216000	0x00	   0	 0.00000000000e+00	0x0001	     1	 1.13686837722e-13	0x000C95	    3221	 1.49989500642e-06	0xA10D5DBF	2702007743	 5.15367077446e+03	0x2BFF	 11263	 4.02266756025e-09	0xF9B5A7B6	 4189431734	 6.12879542552e+00	0x0650A2E7	 105947879	 1.23339564307e-02	0x872BA9EB	 2267785707	 3.31758471067e+00	0x28A73167	  682045799	 9.97777130245e-01	0x3E01	 -511	-1.82507602174e-10	0x429DC33A	 1117635386	 1.63500901221e+00	0xFFA5E9	16754153	 5.98387532385e-06	0xFE19	  -487	-9.07108187675e-07	0x01AE	   430	 8.00937414169e-07	0x2F78	 12152	 3.79750000000e+02	0xFE36	  -458	-1.43125000000e+01	0x0046	    70	 1.30385160446e-07	0x000D	    13	 2.42143869400e-08	0x00	 0	    0
  9	 73	 73	 669	0x34BC	13500	216000	0	0x00	 0	 1	1	0	0	0	0xF4	 -12	-5.58793544769e-09	  73	0x34BC	13500	216000	0x00	   0	 0.00000000000e+00	0x0016	    22	 2.50111042988e-12	0x057151	  356689	 1.66096258909e-04	0xA10CED11	2701978897	 5.15361575508e+03	0x3010	 12304	 4.39446876155e-09	0xF94649BA	 4182133178	 6.11811823600e+00	0x08FBA48F	 150709391	 1.75448822556e-02	0x42400381	 1111491457	 1.62602094740e+00	0x281AA9F3	  672836083	 9.84304070204e-01	0x3FFE	   -2	-7.14315468392e-13	0x3E28071E	 1042810654	 1.52554655899e+00	0xFFA21C	16753180	 5.98352780938e-06	0x01FC	   508	 9.46223735809e-07	0x01CE	   462	 8.60542058945e-07	0x2EEC	 12012	 3.75375000000e+02	0x0201	   513	 1.60312500000e+01	0xFF72	  -142	-2.64495611191e-07	0x0012	    18	 3.35276126862e-08	0x00	 0	    0
 12	105	105	 669	0x34BC	13500	216000	0	0x00	 0	 1	1	0	0	0	0xE6	 -26	-1.21071934700e-08	 105	0x34BC	13500	216000	0x00	   0	 0.00000000000e+00	0x0012	    18	 2.04636307899e-12	0x027852	  161874	 7.53784552217e-05	0xA10E42C7	2702066375	 5.15378260612e+03	0x2AE8	 10984	 3.92302055241e-09	0x09180E5C	  152571484	 2.23199582324e-01	0x021A83AE	  35292078	 4.10853861831e-03	0x03611A20	   56695328	 8.29406203412e-02	0x27F14E8E	  670125710	 9.80339016541e-01	0x3CDA	 -806	-2.87869133762e-10	0x6A426F4B	 1782738763	 2.60800076700e+00	0xFFA9FC	16755196	 5.98424783937e-06	0xF10B	 -3829	-7.13206827641e-06	0x0F1D	  3869	 7.20657408237e-06	0x1F2B	  7979	 2.49343750000e+02	0xEF03	 -4349	-1.35906250000e+02	0x0033	    51	 9.49949026108e-08	0x000F	    15	 2.79396772385e-08	0x00	 0	    0
 15	 24	 24	 669	0x34BC	13500	216000	0	0x00	 0	 0	1	0	0	0	0xEA	 -22	-1.02445483208e-08	  24	0x34BC	13500	216000	0x00	   0	 0.00000000000e+00	0xFFFE	    -2	-2.27373675443e-13	0x3CFDA9	 3997097	 1.86129333451e-03	0xA10CA81C	2701961244	 5.15358208466e+03	0x346B	 13419	 4.79269963518e-09	0x66649A7C	 1717869180	 2.51310188124e+00	0x02408B86	  37784454	 4.39868937247e-03	0x020F0D2C	   34540844	 5.05304251607e-02	0x2685BEF2	  646299378	 9.45483044695e-01	0x013B	  315	 1.12504686272e-10	0x12F5900C	  318083084	 4.65329494293e-01	0xFFA7BB	16754619	 5.98404175936e-06	0x0F2E	  3886	 7.23823904991e-06	0x1217	  4631	 8.62590968609e-06	0x19AC	  6572	 2.05375000000e+02	0x1177	  4471	 1.39718750000e+02	0xFFC2	   -62	-1.15483999252e-07	0x001D	    29	 5.40167093277e-08	0x00	 0	    0
 17	 60	 60	 669	0x34BC	13500	216000	0	0x00	 0	 0	1	0	0	0	0xE9	 -23	-1.07102096081e-08	  60	0x34BC	13500	216000	0x00	   0	 0.00000000000e+00	0xFFE6	   -26	-2.95585778076e-12	0x03EDD5	  257493	 1.19904521853e-04	0xA10D99D9	2702023129	 5.15370012093e+03	0x2CD1	 11473	 4.09767068443e-09	0x85E5AB10	 2246421264	 3.28633028076e+00	0x03C6B2E2	  63353570	 7.37532624044e-03	0xA285B9C7	 2726672839	 3.98889899242e+00	0x273F721E	  658469406	 9.63286798682e-01	0x074B	 1867	 6.66813489744e-10	0x955BE48D	 2505827469	 3.66582030792e+00	0xFFAD69	16756073	 5.98456106670e-06	0xFF2F	  -209	-3.89292836189e-07	0x15B2	  5554	 1.03451311588e-05	0x167A	  5754	 1.79812500000e+02	0xFF06	  -250	-7.81250000000e+00	0xFFF9	    -7	-1.30385160446e-08	0xFFEE	   -18	-3.35276126862e-08	0x00	 0	    0
 18	 33	 33	 669	0x34BC	13500	216000	0	0x00	 0	 0	1	0	0	0	0xE9	 -23	-1.07102096081e-08	  33	0x34BC	13500	216000	0x00	   0	 0.00000000000e+00	0x0010	    16	 1.81898940355e-12	0x069868	  432232	 2.01273709536e-04	0xA10D9A25	2702023205	 5.15370026588e+03	0x3944	 14660	 5.23593238331e-09	0xC1F84888	 3254274184	 4.76073653867e+00	0x06E44573	 115623283	 1.34603217011e-02	0xA78EA5E8	 2811143656	 4.11247287778e+00	0x25E0581A	  635459610	 9.29625352113e-01	0x3B12	-1262	-4.50733060555e-10	0xE99509FB	 3918858747	 5.73296931108e+00	0xFFA78A	16754570	 5.98402425863e-06	0x0051	    81	 1.50874257088e-07	0x12F2	  4850	 9.03382897377e-06	0x1704	  5892	 1.84125000000e+02	0x001F	    31	 9.68750000000e-01	0x0090	   144	 2.68220901489e-07	0x0011	    17	 3.16649675369e-08	0x00	 0	    0
 21	103	103	 669	0x34BC	13500	216000	0	0x00	 0	 0	1	0	0	0	0xE8	 -24	-1.11758708954e-08	 103	0x34BC	13500	216000	0x00	   0	 0.00000000000e+00	0xFFEB	   -21	-2.38742359215e-12	0x386C66	 3697766	 1.72190647572e-03	0xA10CB5A5	2701964709	 5.15358869362e+03	0x3EB2	 16050	 5.73238163385e-09	0xEE4E6A00	 3998116352	 5.84891669435e+00	0x09D95B09	 165239561	 1.92364166724e-02	0xA4B28D1B	 2763164955	 4.04228396867e+00	0x25ED5743	  636311363	 9.30871396976e-01	0x026A	  618	 2.20723479733e-10	0xBEC3BD6F	 3200499055	 4.68206793024e+00	0xFF9F5F	16752479	 5.98327744181e-06	0x01A2	   418	 7.78585672379e-07	0x0A32	  2610	 4.86150383949e-06	0x2218	  8728	 2.72750000000e+02	0x011C	   284	 8.87500000000e+00	0x0008	     8	 1.49011611938e-08	0x009F	   159	 2.96160578728e-07	0x00	 0	    0
 22	 68	 68	 669	0x34BC	13500	216000	0	0x00	 0	 0	1	0	0	0	0xDC	 -36	-1.67638063431e-08	  68	0x34BC	13500	216000	0x00	   0	 0.00000000000e+00	0x0002	     2	 2.27373675443e-13	0x04BDFD	  310781	 1.44718680531e-04	0xA10D69EA	2702010858	 5.15367671585e+03	0x3986	 14726	 5.25950479377e-09	0xA13243CF	 2704425935	 3.95635359435e+00	0x032CB189	  53260681	 6.20035931934e-03	0xADD5AE15	 2916462101	 4.26654513505e+00	0x25C899ED	  633903597	 9.27349032564e-01	0x3B0F	-1265	-4.51804533758e-10	0xE9B7C3F6	 3921134582	 5.73629867125e+00	0xFFA6FE	16754430	 5.98397425655e-06	0xFEE6	  -282	-5.25265932083e-07	0x1365	  4965	 9.24803316593e-06	0x1689	  5769	 1.80281250000e+02	0xFEF6	  -266	-8.31250000000e+00	0x0029	    41	 7.63684511185e-08	0x0001	     1	 1.86264514923e-09	0x00	 0	    0
 26	 51	 51	 669	0x34BC	13500	216000	0	0x00	 0	 1	1	0	0	0	0xF3	 -13	-6.05359673500e-09	  51	0x34BC	13500	216000	0x00	   0	 0.00000000000e+00	0x005C	    92	 1.04591890704e-11	0x33DECF	 3399375	 1.58295733854e-03	0xA10D590D	2702006541	 5.15366848183e+03	0x2AFA	 11002	 3.92944939163e-09	0x4DC47681	 1304721025	 1.90869997587e+00	0x0AAC5499	 179066009	 2.08460270660e-02	0x30EECBE0	  820956128	 1.20099156194e+00	0x2810644C	  672162892	 9.83319246919e-01	0x023D	  573	 2.04651381694e-10	0x1768FC36	  392756278	 5.74570259832e-01	0xFFACDE	16755934	 5.98451142178e-06	0x0DE6	  3558	 6.62729144096e-06	0x1088	  4232	 7.88271427155e-06	0x1D8D	  7565	 2.36406250000e+02	0x110F	  4367	 1.36468750000e+02	0xFFE3	   -29	-5.40167093277e-08	0xFEF4	  -268	-4.99188899994e-07	0x00	 0	    0
